linha;grupo;subgrupo;tipo_mercadoria;fabricante
Hidrologia;Sonda Serie EXO;Produto;EXO (Completa);YSI
Hidrologia;Sonda Serie EXO;Produto;Maleta;YSI
Hidrologia;Sonda Serie EXO;Produto;Sensor;YSI
Hidrologia;Sonda Serie IQ SensorNet;Reposição;Acessório;
Hidrologia;Sonda Serie IQ SensorNet;Produto;Sensor;
Hidrologia;Sonda Serie IQ SensorNet;Produto;Sensor;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;550;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;556;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;DBO;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;Maleta;
Hidrologia;Sonda Serie Lab & Field;Produto;Maleta;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;YSI30;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;YSI3100;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;YSI3200;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;YSI5000;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;YSI5100;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;YSI55;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;YSI60;YSI
Hidrologia;Sonda Serie Lab & Field;Produto;YSI85;YSI
Hidrologia;Sonda Serie MultiLab;Produto;MULTILAB;
Hidrologia;Sonda Serie MultiLab;Produto;MULTILAB;YSI
Hidrologia;Sonda Serie ODO-RTU;Produto;Sonda RTU;
Hidrologia;Sonda Serie ODO-RTU;Produto;Sonda RTU;YSI
Hidrologia;Sonda Serie Pro;Produto;Clean Cell Pro;Clean
Hidrologia;Sonda Serie Pro;Produto;Maleta;YSI
Hidrologia;Sonda Serie Pro;Produto;PRO10;YSI
Hidrologia;Sonda Serie Pro;Produto;PRO1020;YSI
Hidrologia;Sonda Serie Pro;Produto;PRO1030;YSI
Hidrologia;Sonda Serie Pro;Produto;PRO20;YSI
Hidrologia;Sonda Serie Pro;Produto;PRO2030;YSI
Hidrologia;Sonda Serie Pro;Produto;PRO30;YSI
