tipo_meta;linha;grupo;subgrupo;tipo_mercadoria;referencia_media_ponderada_pct;meta_rentabilidade_alvo_pct
rentabilidade;Hidrologia;Medidor de Vazão RS-M9;ADCP;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS-M9;Embarcação;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS-M9;M9;Produto;0.344669486;0.354669486
rentabilidade;Hidrologia;Medidor de Vazão RS-M9;PCM;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS-M9;Treinamento;Serviço;0.357313616;0.367313616
rentabilidade;Hidrologia;Medidor de Vazão RS-S5;ADCP;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Acessório;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Acessório;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Cabo;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;DataLogger;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Estação;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Estrutura;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Moden;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Sensor;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Sistema;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Transdutor;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Metereologia Fixo;Transmissor;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Monitoramento Fixo;Acessório;Produto;0.875826559;0.885826559
rentabilidade;Hidrologia;Monitoramento Fixo;Acessório;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Monitoramento Fixo;Cabo;Reposição;0.6856;0.6956
rentabilidade;Hidrologia;Monitoramento Fixo;Estação;Produto;0.493711405;0.503711405
rentabilidade;Hidrologia;Monitoramento Fixo;Estação;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Monitoramento Fixo;Estrutura;Produto;0.9591;0.9691
rentabilidade;Hidrologia;Monitoramento Fixo;Hora Técnica;Serviço;0.357313616;0.367313616
rentabilidade;Hidrologia;Monitoramento Fixo;Instalação;Serviço;0.357313616;0.367313616
rentabilidade;Hidrologia;Monitoramento Fixo;Painel Solar;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Monitoramento Fixo;Sensor;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Monitoramento Fixo;Sistema;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Monitoramento Fixo;Transdutor;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Monitoramento Fixo;Transmissor;Serviço;0.357313616;0.367313616
rentabilidade;Hidrologia;Outros Diversos;Acessório;Produto;0.3273;0.3373
rentabilidade;Hidrologia;Painel controlador Diversos;Acessório;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Painel controlador Diversos;Cabo;Reposição;0.3536;0.3636
rentabilidade;Hidrologia;Painel controlador Diversos;Sensor;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Portátil;Acessório;Reposição;0.337592929;0.347592929
rentabilidade;Hidrologia;Sonda Portátil;Anel;Reposição;0.43954705;0.44954705
rentabilidade;Hidrologia;Sonda Portátil;Cabo;Reposição;0.423687616;0.433687616
rentabilidade;Hidrologia;Sonda Portátil;Castaway;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Portátil;ProDss;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Portátil;Sensor;Reposição;0.360547233;0.370547233
rentabilidade;Hidrologia;Sonda Portátil ;Acessório;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie 6;6600;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie 6;Maleta;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie 6;SERIE6;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie EcoSense;Display;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie EcoSense;DO200;Produto;0.2251;0.2351
rentabilidade;Hidrologia;Sonda Serie EcoSense;EC300;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie EcoSense;EC30A;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie EcoSense;Maleta;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie EcoSense;ODO200;Produto;0.354079998;0.364079998
rentabilidade;Hidrologia;Sonda Serie EcoSense;PH100;Produto;0.472;0.482
rentabilidade;Hidrologia;Sonda Serie EXO;Acessório;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie EXO;EXO;Produto;0.278952363;0.288952363
rentabilidade;Hidrologia;Sonda Serie EXO;EXO (Completa);Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie EXO;Maleta;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie EXO;Sensor;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie IQ SensorNet;Acessório;Reposição;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie IQ SensorNet;Sensor;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;550;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;556;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;DBO;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;Maleta;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;YSI30;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;YSI3100;Produto;0.357313616;0.367313616
rentabilidade;Hidrologia;Sonda Serie Lab & Field;YSI3200;Produto;0.357313616;0.367313616
